zipcode,snow,rain,fitted_distance
10115,1,0,3.428647608
10115,0,1,3.485877001
10454,0,0,1.866175061
10115,0,0,3.444428075
10454,0,0,1.866175061
10115,0,0,3.444428075
10026,0,1,2.630676586
10454,0,1,1.907623988
10037,0,0,2.703896412
10037,0,1,2.745345338
10037,1,0,2.688115945
10037,1,0,2.688115945
10027,1,0,2.29591069
10027,0,0,2.311691157
10027,0,1,2.353140083
10037,0,0,2.703896412
10473,0,1,2.00217085
10027,0,0,2.311691157
10037,0,1,2.745345338
10115,1,0,3.428647608
10455,0,0,2.9957875
10030,1,0,2.258933808
10030,0,0,2.274714275
10030,1,0,2.258933808
10455,0,1,3.037236426
10455,1,0,2.980007032
10451,0,0,2.286311607
10030,0,1,2.316163202
10451,0,1,2.327760534
10474,0,1,3.599076464
10037,0,0,2.703896412
10473,0,0,1.960721923
10030,0,1,2.316163202
10027,1,0,2.29591069
10030,0,0,2.274714275
10451,1,0,2.27053114
10474,1,0,3.541847071
10030,0,1,2.316163202
10030,0,0,2.274714275
10455,0,1,3.037236426
10027,0,1,2.353140083
10031,0,1,2.743237399
10031,0,0,2.701788472
10459,0,1,2.948876986
10039,0,0,2.443186187
10031,1,0,2.686008005
10039,0,1,2.484635113
10039,1,0,2.42740572
10039,0,1,2.484635113
10459,0,0,2.907428059
10422,0,0,5.627482378
10459,0,0,2.907428059
10459,1,0,2.891647592
10473,1,0,1.944941456
10031,0,0,2.701788472
10456,0,0,2.049266992
10456,1,0,2.033486525
10465,1,0,4.327440187
10461,0,0,3.391163561
10456,1,0,2.033486525
10456,0,1,2.090715918
10465,0,1,4.38466958
10465,0,0,4.343220654
10422,1,0,5.611701911
10422,0,0,5.627482378
10461,1,0,3.375383094
10031,0,1,2.743237399
10422,1,0,5.611701911
10465,0,1,4.38466958
10456,0,1,2.090715918
10039,1,0,2.42740572
10452,1,0,2.840207167
10472,0,0,2.928794624
10452,0,0,2.855987634
10031,1,0,2.686008005
10452,0,1,2.897436561
10031,1,0,2.686008005
10452,1,0,2.840207167
10452,0,1,2.897436561
10472,1,0,2.913014157
10472,0,1,2.97024355
10032,0,1,3.85856476
10452,0,1,2.897436561
10462,1,0,3.119231376
10032,0,0,3.817115834
10462,0,0,3.135011843
10032,0,0,3.817115834
10462,0,1,3.17646077
10032,1,0,3.801335367
10462,1,0,3.119231376
10456,0,0,2.049266992
10460,0,1,2.178805685
10460,1,0,2.121576292
10462,0,0,3.135011843
10457,0,0,3.03675825
10462,0,1,3.17646077
10032,0,1,3.85856476
10032,0,0,3.817115834
10461,1,0,3.375383094
10461,0,1,3.432612487
10460,0,0,2.137356759
10461,0,0,3.391163561
10032,1,0,3.801335367
10032,0,0,3.817115834
10457,1,0,3.020977783
10033,0,0,4.120275493
10033,1,0,4.104495026
10457,0,1,3.078207176
10033,0,0,4.120275493
10457,1,0,3.020977783
10453,0,0,1.908006176
10033,0,1,4.16172442
10499,1,0,4.083241934
10033,0,1,4.16172442
10453,1,0,1.892225709
10453,0,1,1.949455102
10453,1,0,1.892225709
10499,1,0,4.083241934
10033,0,1,4.16172442
10499,0,0,4.099022402
10499,0,0,4.099022402
10499,0,1,4.140471328
10040,0,1,2.899493393
10040,0,0,2.858044467
10458,0,0,2.493184448
10040,1,0,2.842264
10458,1,0,2.477403981
10467,1,0,2.501925077
10468,0,1,2.159488789
10467,0,0,2.517705544
10458,0,1,2.534633375
10468,1,0,2.102259396
10040,1,0,2.842264
10468,0,0,2.118039863
10034,0,0,2.695758567
10468,1,0,2.102259396
10034,1,0,2.6799781
10475,0,0,3.478866308
10034,1,0,2.6799781
10469,0,1,1.230724463
10467,0,1,2.55915447
10034,0,1,2.737207493
10467,0,1,2.55915447
10475,1,0,3.463085841
10463,0,0,2.061123384
10469,0,0,1.189275537
10463,0,0,2.061123384
10463,0,1,2.10257231
10463,1,0,2.045342917
10463,0,1,2.10257231
10467,0,0,2.517705544
10466,0,0,1.53
10467,1,0,2.501925077
10475,0,1,3.520315235
10470,0,1,0.86
10471,1,0,2.7
10701,0,1,1.78
