Trip_distance, Fare_amount,    Extra,   MTA_tax,  Tip_amount, Tolls_amount,improvement_surcharge, Total_amount
Min.   : 0.520  ,Min.   : 4.0  ,Min.   :0.5  ,Min.   :0.5  ,Min.   :0.000  ,Min.   :0  ,Min.   :0.3  ,Min.   : 5.30  
1st Qu.: 1.120  ,1st Qu.: 7.0  ,1st Qu.:0.5  ,1st Qu.:0.5  ,1st Qu.:0.000  ,1st Qu.:0  ,1st Qu.:0.3  ,1st Qu.: 8.30  
Median : 1.600  ,Median : 8.0  ,Median :0.5  ,Median :0.5  ,Median :0.000  ,Median :0  ,Median :0.3  ,Median : 9.30  
Mean   : 4.464  ,Mean   :15.5  ,Mean   :0.5  ,Mean   :0.5  ,Mean   :1.347  ,Mean   :0  ,Mean   :0.3  ,Mean   :18.15  
3rd Qu.: 6.740  ,3rd Qu.:24.0  ,3rd Qu.:0.5  ,3rd Qu.:0.5  ,3rd Qu.:0.000  ,3rd Qu.:0  ,3rd Qu.:0.3  ,3rd Qu.:30.80  
Max.   :14.010  ,Max.   :39.0  ,Max.   :0.5  ,Max.   :0.5  ,Max.   :6.120  ,Max.   :0  ,Max.   :0.3  ,Max.   :46.30  
Sd  : 3.017,Sd  : 10.718,Sd  : 0.366,Sd  : 0.089,Sd  : 3.343,Sd  : 1.149,Sd  : 0.054,Sd  : 12.643
